Model,Approach,Entail_Yes_GT_to_Pred,Entail_No_GT_to_Pred,Entail_Error_GT_to_Pred,Entail_Not_Meaningful_GT_to_Pred,Accuracy_GT_to_Pred (%),Entail_Yes_Pred_to_GT,Entail_No_Pred_to_GT,Entail_Error_Pred_to_GT,Entail_Not_Meaningful_Pred_to_GT,Accuracy_Pred_to_GT (%),Equivalent,Not_Equivalent,Equiv_Error,Equiv_Not_Meaningful,Equivalence_Accuracy (%),Syntactic_Correctness_Rate (%),Syntactic_Match_Rate (%),Precision (%),Recall (%),F1 (%)
claude-sonnet,few_shot,168,92,36,8,64.62,156,100,36,12,60.94,115,145,36,8,44.23,93.75,17.11,44.23,64.62,52.52
claude-sonnet,zero_shot,156,93,33,22,62.65,141,87,33,43,61.84,113,136,33,22,45.38,94.08,7.24,45.38,62.65,52.64
claude-sonnet,zero_shot_self_refine,122,97,46,39,55.71,133,75,46,50,63.94,89,130,46,39,40.64,90.13,6.91,40.64,55.71,47.0
gemini-1.5-flash,few_shot,167,92,29,16,64.48,175,85,29,15,67.31,128,131,29,16,49.42,95.72,15.79,49.42,64.48,55.95
gemini-1.5-flash,zero_shot,154,87,31,32,63.9,140,89,31,44,61.14,108,133,31,32,44.81,95.07,5.92,44.81,63.9,52.68
gemini-1.5-flash,zero_shot_self_refine,152,87,33,32,63.6,144,81,33,46,64.0,111,128,33,32,46.44,94.41,5.59,46.44,63.6,53.68
gpt-3.5-turbo,few_shot,133,119,27,25,52.78,106,136,27,35,43.8,66,186,27,25,26.19,96.38,6.91,26.19,52.78,35.01
gpt-3.5-turbo,zero_shot,104,135,37,28,43.51,134,84,37,49,61.47,71,168,37,28,29.71,92.43,1.97,29.71,43.51,35.31
gpt-3.5-turbo,zero_shot_self_refine,83,142,42,37,36.89,123,82,42,57,60.0,54,171,42,37,24.0,90.13,2.63,24.0,36.89,29.08
gpt-4o-mini,few_shot,169,107,23,5,61.23,156,122,23,3,56.12,100,176,23,5,36.23,98.36,12.17,36.23,61.23,45.53
gpt-4o-mini,zero_shot,190,82,27,5,69.85,163,107,26,8,60.37,129,143,27,5,47.43,96.38,5.92,47.43,69.85,56.49
gpt-4o-mini,zero_shot_self_refine,172,99,28,5,63.47,152,111,28,13,57.79,117,154,28,5,43.17,96.38,4.93,43.17,63.47,51.39
gpt-4o,few_shot,181,86,30,7,67.79,189,79,30,6,70.52,140,127,30,7,52.43,96.05,19.74,52.43,67.79,59.13
gpt-4o,zero_shot,190,76,29,9,71.43,177,89,29,9,66.54,144,122,29,9,54.14,96.05,8.55,54.14,71.43,61.59
gpt-4o,zero_shot_self_refine,160,100,31,13,61.54,171,88,31,14,66.02,123,137,31,13,47.31,95.72,7.24,47.31,61.54,53.49
