Model,Total Formulas,Exact Matches,Errors,Wrong,Accuracy (%),Avg. Nesting Depth,Avg. Operator Overlap
claude-3.5-sonnet_few_shot,307,15,6,286,4.89,4.96,1.9
claude-3.5-sonnet_zero_shot,307,15,5,287,4.89,4.84,1.87
claude-3.5-sonnet_zero_shot_self_refine,307,5,9,293,1.63,3.12,1.22
gemini-1.5-flash_few_shot,307,13,17,277,4.23,4.32,1.7
gemini-1.5-flash_zero_shot,307,13,15,279,4.23,4.29,1.7
gemini-1.5-flash_zero_shot_self_refine,307,13,23,271,4.23,4.12,1.71
gemini-1.5-pro_few_shot,307,14,45,248,4.56,3.75,1.79
gemini-1.5-pro_zero_shot,307,14,47,246,4.56,3.63,1.78
gemini-1.5-pro_zero_shot_self_refine,307,14,46,247,4.56,3.69,1.79
gemini-2.5-flash_few_shot,307,13,7,287,4.23,4.95,1.92
gemini-2.5-flash_zero_shot,307,14,6,287,4.56,4.91,1.92
gemini-2.5-flash_zero_shot_self_refine,307,13,4,290,4.23,4.88,1.92
